MSTI_VAR,COU,Year,Value
G_PPP,FRA,2003,37137.0171461165
G_PPP,FRA,2004,38137.1044976534
G_PPP,FRA,2005,39530.0633129158
G_PPP,FRA,2006,42309.4394952968
G_PPP,FRA,2007,44168.141986871
G_PPP,FRA,2008,46567.0854770021
G_PPP,FRA,2009,49673.3931239566
G_PPP,FRA,2010,50901.4910378333
G_PPP,FRA,2011,53617.2914699277
G_PPP,FRA,2012,55097.7262196232
G_PPP,FRA,2013,58353.3263369787
G_PPP,FRA,2014,60585.6499066721
G_PPP,FRA,2015,61629.1211257299
G_PPP,FRA,2016,63651.4221652349
G_PPP,FRA,2017,65730.126650121
G_PPP,FRA,2018,68617.8667217677
G_PPP,FRA,2019,72768.5909924797
G_PPP,DEU,2000,53908.7268491486
G_PPP,DEU,2001,56193.9548813472
G_PPP,DEU,2002,58637.4253120867
G_PPP,DEU,2003,61021.518808198
G_PPP,DEU,2004,62910.8747971658
G_PPP,DEU,2005,64028.3313995316
G_PPP,DEU,2006,69478.068513602
G_PPP,DEU,2007,73362.0891379318
G_PPP,DEU,2008,81172.6372469468
G_PPP,DEU,2009,82760.4160775312
G_PPP,DEU,2010,87036.2350970702
G_PPP,DEU,2011,95809.965740943
G_PPP,DEU,2012,100490.08504661
G_PPP,DEU,2013,102905.454647198
G_PPP,DEU,2014,109562.683366854
G_PPP,DEU,2015,114097.563573046
G_PPP,DEU,2016,122472.205495718
G_PPP,DEU,2017,133668.003120019
G_PPP,DEU,2018,142080.328555376
G_PPP,DEU,2019,147502.116443781
G_PPP,GRC,2001,1274.012489018
G_PPP,GRC,2003,1425.774847926
G_PPP,GRC,2004,1469.55160419432
G_PPP,GRC,2005,1627.03128039949
G_PPP,GRC,2006,1763.24003944137
G_PPP,GRC,2007,1865.43244227955
G_PPP,GRC,2008,2262.26000541543
G_PPP,GRC,2009,2110.96885094232
G_PPP,GRC,2010,1874.78783675931
G_PPP,GRC,2011,1950.68479784801
G_PPP,GRC,2012,1953.66249943708
G_PPP,GRC,2013,2321.72079348521
G_PPP,GRC,2014,2436.0258091501
G_PPP,GRC,2015,2797.41110735376
G_PPP,GRC,2016,2980.36177784172
G_PPP,GRC,2017,3544.84168738555
G_PPP,GRC,2018,3862.77044278481
G_PPP,GRC,2019,4216.31467358726
G_PPP,HUN,2000,957.731852627813
G_PPP,HUN,2001,1229.16592401841
G_PPP,HUN,2002,1451.39951888164
G_PPP,HUN,2003,1439.13276403533
G_PPP,HUN,2004,1412.77572298521
G_PPP,HUN,2005,1586.83332646847
G_PPP,HUN,2006,1807.23975400492
G_PPP,HUN,2007,1830.3902511068
G_PPP,HUN,2008,2033.41306162637
G_PPP,HUN,2009,2344.57071671147
G_PPP,HUN,2010,2455.86464233889
G_PPP,HUN,2011,2708.07377465639
G_PPP,HUN,2012,2895.02431740378
G_PPP,HUN,2013,3361.35548011978
G_PPP,HUN,2014,3408.35444098874
G_PPP,HUN,2015,3533.58957495789
G_PPP,HUN,2016,3235.47309922674
G_PPP,HUN,2017,3802.34655764504
G_PPP,HUN,2018,4695.68435102427
G_PPP,HUN,2019,4902.52691597478
G_PPP,ISL,2000,215.474714004235
G_PPP,ISL,2001,258.077442288496
G_PPP,ISL,2002,264.496149272473
G_PPP,ISL,2003,255.868851578383
G_PPP,ISL,2005,296.773936332496
G_PPP,ISL,2006,343.577239097763
G_PPP,ISL,2007,326.822453461847
G_PPP,ISL,2008,342.020573109786
G_PPP,ISL,2009,346.548989714934
G_PPP,ISL,2011,313.905076284049
G_PPP,ISL,2013,243.334281617175
G_PPP,ISL,2014,291.561796877721
G_PPP,ISL,2015,355.052834424328
G_PPP,ISL,2016,378.486173310087
G_PPP,ISL,2017,398.196592607281
G_PPP,ISL,2018,411.436545323829
G_PPP,ISL,2019,503.730401855545
G_PPP,IRL,2000,1246.26673217217
G_PPP,IRL,2001,1325.09776320681
G_PPP,IRL,2002,1462.12293698494
G_PPP,IRL,2003,1628.70339619167
G_PPP,IRL,2004,1855.29077152483
G_PPP,IRL,2005,2006.51009729997
G_PPP,IRL,2006,2263.20047843909
G_PPP,IRL,2007,2536.09063711804
G_PPP,IRL,2008,2758.86364888179
G_PPP,IRL,2009,3037.41057662694
G_PPP,IRL,2010,3144.8328084017
G_PPP,IRL,2011,3206.08354587342
G_PPP,IRL,2012,3321.56904304825
G_PPP,IRL,2013,3467.75445503191
G_PPP,IRL,2014,3622.77200345922
G_PPP,IRL,2015,3839.38771751253
G_PPP,IRL,2016,3997.413066536
G_PPP,IRL,2017,4626.48210111909
G_PPP,IRL,2018,4818.63871763441
G_PPP,IRL,2019,5420.02384564349
G_PPP,ITA,2000,15478.4257256829
G_PPP,ITA,2001,16629.2714309062
G_PPP,ITA,2002,17728.8336836576
G_PPP,ITA,2003,17701.7644693089
G_PPP,ITA,2004,17890.6127727234
G_PPP,ITA,2005,18241.2470597189
G_PPP,ITA,2006,20427.7324413901
G_PPP,ITA,2007,22497.7796501535
G_PPP,ITA,2008,24234.9620865909
G_PPP,ITA,2009,24922.3121941176
G_PPP,ITA,2010,25403.1329464884
G_PPP,ITA,2011,26111.6902937421
G_PPP,ITA,2012,27419.6116133081
G_PPP,ITA,2013,28459.4047920513
G_PPP,ITA,2014,29448.3378442964
G_PPP,ITA,2015,29994.846699333
G_PPP,ITA,2016,33076.6082390783
G_PPP,ITA,2017,34488.8025695287
G_PPP,ITA,2018,37044.4990174876
G_PPP,ITA,2019,38755.7066560692
G_PPP,JPN,2000,98918.2756911955
G_PPP,JPN,2001,103809.215351701
G_PPP,JPN,2002,108166.225325907
G_PPP,JPN,2003,112412.861153601
G_PPP,JPN,2004,117463.403486484
G_PPP,JPN,2005,128694.561388432
G_PPP,JPN,2006,138701.54850129
G_PPP,JPN,2007,147484.16292704
G_PPP,JPN,2008,148719.234646642
G_PPP,JPN,2009,137366.208121122
G_PPP,JPN,2010,140565.584243832
G_PPP,JPN,2011,148389.229420122
G_PPP,JPN,2012,152325.567587805
G_PPP,JPN,2013,164655.764309366
G_PPP,JPN,2014,169554.148525839
G_PPP,JPN,2015,168514.031992379
G_PPP,JPN,2016,160269.312871991
G_PPP,JPN,2017,166621.734241155
G_PPP,JPN,2018,172785.858920905
G_PPP,JPN,2019,173267.14987723
G_PPP,KOR,2000,18521.0966821151
G_PPP,KOR,2001,21278.7599019318
G_PPP,KOR,2002,22506.7756799073
G_PPP,KOR,2003,24085.8441667783
G_PPP,KOR,2004,27904.1461705254
G_PPP,KOR,2005,30618.325651079602
G_PPP,KOR,2006,35399.8670231924
G_PPP,KOR,2007,40626.287285996
G_PPP,KOR,2008,43906.4127630751
G_PPP,KOR,2009,45817.4622633715
G_PPP,KOR,2010,52165.7196387868
G_PPP,KOR,2011,58379.6541633494
G_PPP,KOR,2012,64862.488554488
G_PPP,KOR,2013,68234.054772454
G_PPP,KOR,2014,73099.8133108071
G_PPP,KOR,2015,76922.04037023
G_PPP,KOR,2016,80815.9606962198
G_PPP,KOR,2017,90289.8816859189
G_PPP,KOR,2018,99025.7310804717
G_PPP,KOR,2019,102521.438394649
G_PPP,LUX,2000,380.872863705538
G_PPP,LUX,2003,440.918899175326
G_PPP,LUX,2004,470.274432631518
G_PPP,LUX,2005,498.7514270512
G_PPP,LUX,2006,613.889046746072
G_PPP,LUX,2007,641.274774124131
G_PPP,LUX,2008,687.521053457356
G_PPP,LUX,2009,687.411970432335
G_PPP,LUX,2010,652.696577745993
G_PPP,LUX,2011,697.602975079362
G_PPP,LUX,2012,619.11070465199
G_PPP,LUX,2013,676.602773492407
G_PPP,LUX,2014,712.332095122276
G_PPP,LUX,2015,769.351921645869
G_PPP,LUX,2016,835.902048629351
G_PPP,LUX,2017,849.571200538294
G_PPP,LUX,2018,831.91504708847
G_PPP,LUX,2019,893.825391146079
G_PPP,MEX,2000,3357.62897968086
G_PPP,MEX,2001,3618.83719922304
G_PPP,MEX,2002,4030.45903374869
G_PPP,MEX,2003,4653.2854852943
G_PPP,MEX,2004,4903.04945952025
G_PPP,MEX,2005,5346.15115499198
G_PPP,MEX,2006,5483.65022222677
G_PPP,MEX,2007,6214.2215451932
G_PPP,MEX,2008,7341.15831881957
G_PPP,MEX,2009,7851.37722951789
G_PPP,MEX,2010,8615.95432039504
G_PPP,MEX,2011,9007.88324827811
G_PPP,MEX,2012,8472.95758823839
G_PPP,MEX,2013,8774.66824738091
G_PPP,MEX,2014,9460.07861591304
G_PPP,MEX,2015,9577.03685383008
G_PPP,MEX,2016,9241.68329980909
G_PPP,MEX,2017,8079.10609960453
G_PPP,MEX,2018,7851.17550821618
G_PPP,MEX,2019,7407.70746290535
G_PPP,NLD,2000,9088.22047277835
G_PPP,NLD,2001,9566.77123506864
G_PPP,NLD,2002,9709.57834185163
G_PPP,NLD,2003,9874.16972485829
G_PPP,NLD,2004,10422.1475855522
G_PPP,NLD,2005,10892.4020856261
G_PPP,NLD,2006,11654.0944281276
G_PPP,NLD,2007,12008.1985226498
G_PPP,NLD,2008,12387.7180514983
G_PPP,NLD,2009,12277.6431879547
G_PPP,NLD,2010,12763.149540945
G_PPP,NLD,2011,14634.3881332604
G_PPP,NLD,2012,15177.6896251993
G_PPP,NLD,2013,17840.9013367686
G_PPP,NLD,2014,18045.2937689627
G_PPP,NLD,2015,18281.9743951097
G_PPP,NLD,2016,19152.7382259381
G_PPP,NLD,2017,20559.9933087009
G_PPP,NLD,2018,21339.4008423219
G_PPP,NLD,2019,22308.9106067681
G_PPP,NZL,2001,960.535086600564
G_PPP,NZL,2003,1108.66990631562
G_PPP,NZL,2005,1189.31557893643
G_PPP,NZL,2007,1435.38530232989
G_PPP,NZL,2009,1653.98276255195
G_PPP,NZL,2011,1766.5885729083
G_PPP,NZL,2013,1856.87312288238
G_PPP,NZL,2015,2121.76558428145
G_PPP,NZL,2017,2721.25156461657
G_PPP,NOR,2001,2664.72380930635
G_PPP,NOR,2002,2808.96097354856
G_PPP,NOR,2003,2955.94411046422
G_PPP,NOR,2004,3014.56696355321
G_PPP,NOR,2005,3275.80599449011
G_PPP,NOR,2006,3668.65891404165
G_PPP,NOR,2007,4115.85938730408
G_PPP,NOR,2008,4574.49085204682
